CourseName,Date Issued,Institution,Skills,URL
"Python, Bash and SQL Essentials for Data Engineering","May 11, 2022",Duke University,Bash (Unix Shell),https://www.coursera.org/account/accomplishments/specialization/66W9JUNGNZGL
Google Professional Workspace Administrator,"May 10, 2022",Google Cloud,,https://www.coursera.org/account/accomplishments/professional-cert/TNBHMJ9ATB3P
AWS Fundamentals,"September 8, 2020",Amazon Web Services,,https://www.coursera.org/account/accomplishments/specialization/YDWQBY4Y9F25
Online Learning  Design for Educators,"May 10, 2022",Macquarie University,,https://www.coursera.org/account/accomplishments/specialization/JKN4RNNPNYVW
Decentralized Finance (DeFi): The Future of Finance,"May 8, 2022",Duke University,,https://www.coursera.org/account/accomplishments/specialization/GSKRNNKZKJV2
Scripting with Python and SQL for Data Engineering,"May 11, 2022",Duke University,Database (DBMS),https://www.coursera.org/account/accomplishments/verify/Z7J68MFUM96M
Moral Foundations of Politics,"May 14, 2022",Yale University,,https://www.coursera.org/account/accomplishments/verify/88ACC9ZST3WW
Azure Synapse SQL Pool - Implement Polybase,"May 10, 2022",Coursera Project Network,Azure Data Lake Storage Gen2,https://www.coursera.org/account/accomplishments/verify/9QNRHZQXB33S
Cloud Computing Foundations,"May 10, 2022",Duke University,Github,https://www.coursera.org/account/accomplishments/verify/72MYJFWZ3YNU
Writing and Editing: Structure and Organization,"May 11, 2022",University of Michigan,Persuasion,https://www.coursera.org/account/accomplishments/verify/6QPV45CJ7DSG
Performance Assessment in the Virtual Classroom,"May 10, 2022","University of California, Irvine",,https://www.coursera.org/account/accomplishments/verify/J5GL928YWTB7
Python and Pandas for Data Engineering,"May 11, 2022",Duke University,Vim,https://www.coursera.org/account/accomplishments/verify/Z4HK38TQ7JXL
Advanced Instructional Strategies in the Virtual Classroom,"May 10, 2022","University of California, Irvine",,https://www.coursera.org/account/accomplishments/verify/GRATFY728JPM
Linux and Bash for Data Engineering,"May 11, 2022",Duke University,Bash (Unix Shell),https://www.coursera.org/account/accomplishments/verify/PSP26MYL5L2Q
Writing and Editing: Word Choice and Word Order,"May 14, 2022",University of Michigan,Persuasion,https://www.coursera.org/account/accomplishments/verify/R4DAA4VBY4RC
Writing and Editing: Revising,"May 10, 2022",University of Michigan,Persuasion,https://www.coursera.org/account/accomplishments/verify/G4RP5TYMKMR6
Leading transformations: Manage change,"May 10, 2022",Macquarie University,,https://www.coursera.org/account/accomplishments/verify/NZL3P3QKQ325
Search Engine Optimization (SEO) with Squarespace,"May 10, 2022",Coursera Project Network,Squarespace,https://www.coursera.org/account/accomplishments/verify/6ES5BMMCLA73
Increase SEO Traffic with WordPress,"May 10, 2022",Coursera Project Network,Web Development,https://www.coursera.org/account/accomplishments/verify/XDZUQLVP7BDD
"Cloud Virtualization, Containers and APIs","May 10, 2022",Duke University,,https://www.coursera.org/account/accomplishments/verify/9RU3M3G4R5JJ
Create a Professional Automated Landing Page using Mailchimp,"May 10, 2022",Coursera Project Network,email automation,https://www.coursera.org/account/accomplishments/verify/R3K6BR62XF6L
Emerging Trends & Technologies in the Virtual K-12 Classroom,"May 10, 2022","University of California, Irvine",Education,https://www.coursera.org/account/accomplishments/verify/KH4ZTWUQPMFW
Web Applications and Command-Line Tools for Data Engineering,"May 10, 2022",Duke University,Web Application,https://www.coursera.org/account/accomplishments/verify/TEM7LYAYVQ44
Writing and Editing: Drafting,"May 10, 2022",University of Michigan,Persuasion,https://www.coursera.org/account/accomplishments/verify/HJK74TFFSZNW
Customer-Centric IT Strategy,"May 10, 2022",University of Virginia,,https://www.coursera.org/account/accomplishments/verify/FW3Z5Y9TBQBE
Google Workspace Mail Management,"May 10, 2022",Google Cloud,,https://www.coursera.org/account/accomplishments/verify/XFPSQW497HRP
Making Money as a Freelancer,"May 10, 2022",California Institute of the Arts,,https://www.coursera.org/account/accomplishments/verify/NJGU4PTHFVZE
Foundations of Virtual Instruction,"May 10, 2022","University of California, Irvine",Education,https://www.coursera.org/account/accomplishments/verify/AFVQAEUAETHQ
"Create video, audio and infographics for online learning","May 10, 2022",Macquarie University,Infographics,https://www.coursera.org/account/accomplishments/verify/JQNU4UAQ69NT
Launching Your Freelancing Business,"May 10, 2022",California Institute of the Arts,,https://www.coursera.org/account/accomplishments/verify/G23MH9ZGM35U
